FILE_ID,LABEL
ES1441973,D
P11507847,D
ER1434753,D
P11541325,D
P11501358,D
RE1474550,D
ES1465103,D
P11506015,D
ER1389711,B
P11505153,C
ES1466796,D
P21561573,D
ES1449359,D
ER1433351,D
ER1376862,E
ES1450517,D
ER1387878,E
P21498085,A
ES1468678,D
P21499331,D
RE1473666,D
ES1467161,D
ES1441455,D
ES1459035,D
ES1468734,D
ER1427833,D
ER1402383,D
SS1497374,D
P21499971,D
ER1409386,D
ER1418945,D
P11498882,A
SS1486485,D
ER1411464,D
RE1440961,D
ER1437966,D
ER1396392,D
ER1405855,D
ES1471282,D
P11536578,D
ER1410249,B
ES1450601,D
ES1457221,D
ER1395613,E
ES1450898,D
P11502286,D
ES1441525,D
P21500684,D
ER1416477,D
ER1398022,D
ER1395892,D
ER1417298,D
RE1471220,D
ER1413311,D
P11530348,D
RE1457173,C
ER1402517,D
ER1416936,D
P11546369,D
ER1429123,D
ER1409759,D
P11498976,D
ER1397994,E
RE1465124,D
ES1455620,D
RE1470303,A
ER1430232,D
ER1394570,D
ES1438120,D
ER1414241,D
RE1450907,D
ES1440864,D
ES1468642,D
ES1428694,D
ER1433404,D
ER1432980,A
P21516424,D
ER1416432,D
ES1447947,D
SS1490851,A
ER1411739,D
ES1440476,D
SS1478184,D
ER1403495,A
ER1400459,E
ER1403884,D
ER1415606,D
P11552814,D
ER1411786,D
ES1449916,D
P21514446,D
ES1464626,B
ER1407038,D
RE1451700,D
RE1442217,D
ES1469640,D
RE1441928,D
ES1473528,A
ES1442330,D
ER1413501,D
P21505696,D
SS1477378,D
ER1416483,D
ER1384936,E
RE1444075,C
SS1489238,D
SS1476867,A
ER1421374,D
ER1395792,D
ES1443456,D
ES1440987,D
RE1475994,D
RE1472700,A
RE1480301,A
ER1410091,D
P11534144,D
ER1429893,C
P11541447,A
ES1465708,D
ER1393587,D
P11508727,D
RE1463532,D
RE1443998,F
ES1462968,D
ER1437750,B
ES1442474,D
ES1440358,D
ES1447514,D
RE1442491,D
ER1422715,D
ES1468866,D
P11499251,D
ER1396036,B
ER1432872,D
ER1379563,E
SS1473913,C
ER1420042,A
ER1400623,D
ER1398198,B
ER1426532,D
RE1449420,D
ER1383233,B
ER1436958,D
ER1438426,D
SS1489843,C
ES1438945,D
SS1487362,A
SS1497589,D
ER1425625,D
RE1448056,D
P31520864,D
ES1463563,D
ER1408038,D
RE1476230,D
RE1472436,D
ER1390703,B
ER1420057,D
ES1435600,D
ER1395512,D
ES1470428,D
RE1443226,D
ER1402277,D
ES1448724,D
SS1485539,D
ER1396064,D
ES1458458,D
ER1416765,D
ES1436835,D
ER1403712,E
P11510756,D
P11509377,D
ES1439434,B
ES1443139,D
ES1449415,D
ES1451918,D
ER1421094,A
ER1399281,D
RE1445613,D
RE1442801,D
RE1475871,D
ER1422010,B
P11535379,D
ER1402007,D
P21532071,D
SS1490782,A
RE1473442,B
ES1446491,D
ES1465933,D
ER1435925,D
SS1487992,C
RE1454119,B
ER1437085,D
ER1438992,D
ER1411202,D
RE1476419,D
ER1434298,D
SS1493271,A
ES1459102,D
ER1417619,D
ER1436108,D
ER1389807,E
ER1421058,A
P11536781,D
RE1462236,D
P11519394,D
ES1443050,D
ER1421182,D
ER1410097,D
ES1442355,D
ER1386468,E
P11506660,D
ER1402417,D
ER1404105,D
RE1473634,D
ES1464583,D
ER1435991,D
P21498704,D
ES1466431,F
P11532005,D
ES1446109,D
ES1437170,B
ES1429527,B
ER1432935,A
P11524333,A
ER1412112,D
ER1436426,D
ER1394429,B
SS1483973,B
ES1471619,D
ER1384619,E
ES1468531,A
ES1433125,D
ER1432977,A
ER1430076,D
ES1448326,D
ER1409398,D
ES1443485,A
ER1432654,D
ES1471344,D
ES1419725,D
P21498544,D
RE1473883,D
ES1473405,C
RE1464545,D
ER1391161,B
P11523198,D
ER1414765,D
ES1458085,B
ES1466714,D
RE1445692,A
P11537668,D
SS1488694,B
ES1464665,D
ES1471149,D
ES1441320,D
P21515568,D
ER1414912,D
ES1467779,D
ES1467094,D
P21702762,D
ER1400584,D
ER1388890,E
SS1476135,D
ER1402278,D
ER1409814,D
ES1461288,D
P21499274,D
ER1414238,D
ER1428557,D
ES1447881,A
ER1429639,D
RE1468315,C
ES1461954,B
ES1426872,D
ER1391260,B
ER1425948,D
RE1462833,D
ER1397695,B
ER1411500,D
ES1469952,D
ER1404993,D
ER1418385,D
ES1446522,B
ER1411641,D
RE1450814,B
ER1394495,E
RE1477294,D
P21503859,D
ER1428304,D
P11507719,D
ER1430595,D
ER1407984,D
P21501244,D
P11602681,D
ER1440386,D
ER1402974,D
RE1450241,D
RE1459322,D
ES1437375,A
ER1364825,E
ES1436274,D
RE1450712,B
SS1474716,D
SS1495975,D
ER1414584,D
ES1456792,D
ER1395015,E
ES1441316,D
RE1448761,A
P21505345,D
ER1413142,D
ER1416704,D
ER1420340,B
SS1485508,D
ER1403031,D
ES1472843,D
ER1401694,E
ES1458565,D
ER1436033,D
ER1402016,E
P11530938,D
ES1442027,D
ES1456686,D
ER1395972,D
ER1388896,E
ER1398889,D
P11499763,A
ES1434649,D
RE1459353,D
RE1470582,C
ES1466814,A
RE1461112,D
ER1430533,D
RE1471649,D
ES1457335,D
ES1444213,D
RE1442741,D
ER1429890,D
ES1439231,D
ER1438523,D
ER1409602,D
SS1476760,A
ES1439432,D
ES1438942,D
ES1439895,D
P21498812,D
ER1393316,E
ER1404500,D
P11543647,D
P11510177,D
ER1428594,D
ES1434412,D
ER1398130,E
P21499773,D
RE1452810,B
RE1460936,C
ER1421859,D
P21515827,A
ES1449513,D
ER1405783,D
ES1458272,B
P11509003,A
ER1433872,B
ES1445270,D
RE1465559,D
ER1413159,B
RE1466354,D
ER1418878,D
P21508463,D
ER1433103,D
P21501196,A
ES1448451,D
ER1388981,E
ER1411458,D
ER1403249,D
ER1404426,E
ER1395734,B
ES1427321,D
ES1427880,A
ER1411974,D
ES1459940,D
ER1391869,D
ES1469212,D
ER1397833,E
RE1442348,D
ER1437850,D
ER1410337,D
SS1484972,C
ER1413597,D
ES1434145,D
ER1403009,D
ER1416514,B
RE1453604,B
P11572714,D
P21497996,D
P21594833,D
ES1440034,D
RE1453340,B
RE1480552,D
ES1435964,D
RE1451818,D
ER1409366,D
P11537283,D
P11498859,D
RE1452882,B
ER1400375,E
ER1425853,D
P11531956,A
ER1393356,E
RE1462726,D
P11563010,D
P11589981,D
ER1381222,E
ER1428058,D
ER1421530,D
SS1497085,D
P11554189,D
RE1444986,A
ES1457110,D
P11591851,D
ER1439040,D
P11518821,D
RE1462319,C
ES1453540,D
RE1480319,D
ER1407557,D
ER1400676,E
RE1458416,D
ES1437370,D
RE1456641,D
ES1456325,B
ER1415359,D
ER1427369,D
RE1477973,C
RE1456981,D
P21498223,D
ER1396548,E
P21508715,D
ES1470330,D
ER1404300,E
ES1470267,D
P11535419,A
RE1450622,D
ER1409357,D
ER1397019,D
ER1382156,E
ER1403245,E
ES1468814,D
ER1395181,D
ES1468303,D
ER1428076,D
RE1451895,C
ES1467825,D
ER1409346,D
SS1486285,B
ES1449102,A
P11543547,D
P11512737,D
P11513493,D
ER1389369,D
SS1487096,D
ES1466726,A
RE1443041,D
ER1406153,D
RE1462290,D
ER1419758,D
RE1464409,D
P21514840,D
SS1475104,D
P11526650,D
RE1476313,A
ES1448320,D
ES1435864,D
ES1468526,D
RE1448188,C
SS1478626,A
RE1464643,C
SS1494266,A
ER1415599,B
RE1480895,D
ER1409464,D
ER1390076,D
SS1477566,D
ER1428080,D
ES1466396,D
ER1410199,D
P11608114,D
ER1438569,D
ER1401673,D
RE1459897,A
P11505733,D
SS1486560,D
ER1411873,D
ES1471801,D
P11559695,D
ES1454910,D
ES1469313,D
SS1474162,A
ER1421003,D
ES1460945,D
ER1403510,E
ES1443075,D
